name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Annual Calendar,Automatic,White gold,2020,Unworn,5396G-014,"Original box, original papers","United States of America, New York, New York",38.5 mm,"$55,510"
Patek Philippe Grand Complications,Automatic,Rose gold,-,Unworn,5208R-001,"Original box, original papers","United States of America, New York, New York City",42 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,2006,Very good,4809J-001,"Original box, original papers","Germany, Maitenbeth",25 mm,"$10,021"
Patek Philippe Nautilus,Automatic,Steel,2007,Unworn,5712/1A,"Original box, original papers","The Netherlands, Maastricht",40 mm,"$111,350"
Patek Philippe Annual Calendar,Automatic,White gold,2023,Very good,5147G-001,"Original box, original papers","United States of America, Pennsylvania",39 mm,"$44,950"
Patek Philippe Nautilus,Automatic,Rose gold,2016,Very good,5712R,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$124,000"
Patek Philippe Calatrava,-,White gold,2000,Very good,4857G,"No original box, no original papers","United States of America, New Hampshire, Nashua",29 mm,"$13,000"
Patek Philippe Perpetual Calendar,Automatic,Platinum,-,Very good,5496P-014,"Original box, original papers","United States of America, New York, New York",39 mm,"$79,599"
Patek Philippe Nautilus,Automatic,Rose gold,2014,Very good,5980/1R-001,"Original box, original papers","Monaco, Monaco",40 mm,"$228,280"
Patek Philippe World Time,Automatic,White gold,2010,Good,5130G-001,"Original box, original papers","Sweden, Lidingö",39.5 mm,"$36,539"
Patek Philippe Travel Time,Automatic,Rose gold,2020,Very good,5524R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$47,500"
Patek Philippe Nautilus,Quartz,Rose gold,2016,Very good,7010R-011,"Original box, original papers","United States of America, New York, New York",32 mm,"$50,541"
Patek Philippe Nautilus,Automatic,Rose gold,2018,Very good,5980/1R-001,"Original box, original papers","China, shenzhen",40.5 mm,"$191,236"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Good,3565/1,"Original papers, no original box","Hong Kong, Kwun Tong",35 mm,"$14,350"
Patek Philippe Golden Ellipse,Automatic,Rose gold,2024,New,5738R-001,"Original box, original papers","Spain, Madrid",34.5 x 39.5 mm,Price on request
Patek Philippe Travel Time,Automatic,White gold,-,Good,5524G-001,"Original box, original papers","United States of America, New York, Hauppauge",42 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2023,New,5712/1A-001,"Original box, original papers","UAE, Dubai",40 x 38 mm,"$135,406"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Good,3445,"Original papers, no original box","Japan, Kumamoto",35.0 mm,"$15,865"
Patek Philippe Twenty~4,Automatic,Steel,2021,New,7300/1200A-001,"Original box, original papers","United States of America, Florida, Boca Raton",36 mm,"$34,500"
Patek Philippe Twenty~4,Quartz,Steel,-,Very good,4910/10A-010,"Original box, original papers","Czech Republic, Praha 1",25 x 30 mm,"$10,245"
Patek Philippe Annual Calendar,Automatic,Rose gold,2022,Very good,5205R-011,"Original box, original papers","United States of America, Illinois, Springfield",40 mm,"$58,000"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,2023,Unworn,7140R-001,"Original box, original papers","United Kingdom, London",35.1 mm,"$76,890"
Patek Philippe Aquanaut,Automatic,Steel,2019,Very good,5968A,"Original box, original papers","United States of America, New York, Great Neck",42.2 mm,"$139,999"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5726/1A-001,"Original box, original papers","UAE, dubai",40.5 mm,Price on request
Patek Philippe Aquanaut,Quartz,Steel,-,Very good,5087/1A-001,"Original box, no original papers","United States of America, Texas, Laredo",35.2 mm,"$35,000"
Patek Philippe World Time,Automatic,Rose gold,2021,Unworn,5230R-012,"Original box, original papers","Switzerland, Geneva",-,"$40,000"
Patek Philippe,Manual winding,Rose gold,1938,Very good,Mouvement 832 724 / Calibre 9'''90,"Original papers, no original box","France, STRASBOURG",-,"$37,861"
Patek Philippe Nautilus,Automatic,Rose gold,2021,Unworn,5980/1AR,"Original box, original papers","United States of America, California, Del Mar",40 mm,"$199,000"
Patek Philippe Nautilus,Quartz,Yellow gold,2000,Good,4700/51,"Original box, original papers","The Netherlands, Amsterdam",27 mm,"$22,160"
Patek Philippe Annual Calendar Travel Time,Automatic,White gold,-,New,5326G-001,"Original box, original papers","UAE, Dubai",41 mm,"$85,152"
Patek Philippe Calatrava,Automatic,White gold,-,Unworn,6007G-011,"Original box, original papers","United Kingdom, London",40 mm,Price on request
Patek Philippe Twenty~4,Quartz,White gold,2005,Good,4920G-010,"Original box, original papers","Italy, Roma",25 x 30 mm,"$14,365"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5269R-001,"Original box, original papers","UAE, Dubai",38.8 mm,"$88,000"
Patek Philippe Annual Calendar,Automatic,-,-,Very good,5205G,"Original box, original papers","United States of America, New York, Huntington",40 mm,"$35,992"
Patek Philippe Aquanaut,Automatic,Steel,2014,Very good,5167A-001,"Original box, original papers","Italy, roma",40 mm,"$58,462"
Patek Philippe Annual Calendar,Automatic,White gold,2014,Very good,5146/1G-010,"Original box, no original papers","Sweden, Stockholm",39 mm,"$50,481"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,Very good,5038G,"Original box, original papers","United States of America, Massachusetts, Boston",36 mm,"$46,000"
Patek Philippe World Time Chronograph,Automatic,White gold,2021,Very good,5930G-010,"Original box, original papers",Switzerland,39 mm,"$58,950"
Patek Philippe Aquanaut,Automatic,Rose gold,2022,New,5072R-001,"Original box, original papers","United States of America, Florida, Miami",35.6 mm,"$172,000"
Patek Philippe World Time Chronograph,Automatic,White gold,2017,New,5930G-001,"Original box, original papers","Italy, Milano",39.5 mm,"$94,653"
Patek Philippe,Automatic,White gold,2022,Very good,5740G,"Original box, original papers","Germany, München",41 mm,"$247,633"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,5153J-001,"Original papers, no original box","Japan, Nagoya,AICHI",38 mm,"$29,501"
Patek Philippe Nautilus,Automatic,Rose gold,-,-,5711/1R-001,"No original box, no original papers","United States of America, Texas, Austin",40 mm,Price on request
Patek Philippe Gondolo,Manual winding,Yellow gold,-,Good,5014J,"No original box, no original papers","Japan, Saitama Prefectural Saitama City",35 x 27 mm,"$10,148"
Patek Philippe Nautilus,Automatic,Steel,2018,Very good,5990/1A-001,"Original box, original papers","United Kingdom, London",40.5 mm,"$130,326"
Patek Philippe Aquanaut,Automatic,White gold,-,New,5968G-010,"Original box, original papers","UAE, Dubai",42.2 mm,"$124,238"
Patek Philippe Nautilus,Automatic,Steel,1990,Very good,3800,"No original box, no original papers","United Kingdom, London",37 mm,"$104,266"
Patek Philippe Aquanaut,Automatic,Rose gold,-,New,5072R-001,"Original box, original papers","United States of America, California, Newport Beach",36 mm,Price on request
Patek Philippe Perpetual Calendar,-,Yellow gold,1978,Very good,3448,"No original box, no original papers","United States of America, Florida, Miami",37.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,White gold,2021,Very good,5968G-010,"Original box, original papers","United States of America, New York, New York",42 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,-,Very good,7118/1R-010,"Original box, original papers","United States of America, California, Newport Beach",35 mm,"$89,750"
Patek Philippe Aquanaut,Automatic,Red gold,-,Very good,5164R-001,"Original box, original papers","Japan, Tokyo",40.8 mm,"$111,336"
Patek Philippe Annual Calendar,Automatic,Steel,-,Very good,4947/1A-001,"Original box, original papers","United States of America, Massachusetts, Boston",38 mm,"$38,500"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5726A-001,"Original box, original papers","The Netherlands, Amsterdam",40.5 mm,"$89,079"
Patek Philippe Calatrava,Automatic,Rose gold,2019,Very good,5524R-001,"Original box, original papers","Italy, Brescia",42 mm,"$46,770"
Patek Philippe Calatrava,Quartz,Yellow gold,1979,Good,3744,"No original box, no original papers","United States of America, New York, New York",33 mm,"$12,999"
Patek Philippe Aquanaut,Automatic,Steel,2021,New,5167A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$72,000"
Patek Philippe World Time,Automatic,Platinum,2024,Unworn,5230P-001,"Original box, original papers","Spain, Madrid",38.5 mm,"$67,927"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2022,Very good,5270P-014,"Original box, original papers","France, Paris",41 mm,"$206,009"
Patek Philippe Annual Calendar,Automatic,Rose gold,2020,Unworn,4948R-001,"Original box, original papers","United States of America, New York, New York",38 mm,"$79,805"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,Good,5961P-001,"Original box, original papers","Japan, Tokyo",40.5 mm,"$123,707"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2024,New,5905/1A-001,"Original box, original papers","Spain, Madrid",42 mm,"$71,156"
Patek Philippe Nautilus,Automatic,White gold,2023,New,5719/G-010,"Original box, original papers","Germany, Bamberg",40 mm,"$879,712"
Patek Philippe Calatrava,Automatic,White gold,-,Good,3563/3,"No original box, no original papers","Belgium, Antwerp",34.5 mm,"$14,142"
Patek Philippe Golden Ellipse,Manual winding,White gold,-,Very good,3545,"No original box, no original papers","Spain, Barcelona",32 x 27 mm,"$9,243"
Patek Philippe Vintage,Manual winding,Yellow gold,1902,Very good,-,"No original box, no original papers","United States of America, California, Los Angeles",-,"$6,999"
Patek Philippe Nautilus,Automatic,-,1999,Very good,3800,"Original box, original papers","Italy, 01036",-,"$77,949"
Patek Philippe Aquanaut,Automatic,Red gold,-,Fair,5167R-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",40.8 mm,"$100,959"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5980/10R-010,"Original box, original papers","Switzerland, Geneva",-,Price on request
Patek Philippe Gondolo,Manual winding,Yellow gold,-,Unworn,5124J-001,"Original box, no original papers","United States of America, Florida, North Miami Beach",33.4 x 43 mm,"$18,800"
Patek Philippe Annual Calendar Chronograph,Automatic,White gold,2018,Good,5960/01G-001,"Original box, original papers","Singapore, Singapore",40.5 mm,"$91,850"
Patek Philippe Calatrava,Automatic,White gold,2020,Very good,7234G-001,"Original box, original papers","United States of America, Texas, Houston",37.5 mm,"$36,500"
Patek Philippe Twenty~4,Automatic,Steel,-,Unworn,7300/1200A-011,"Original box, original papers","United States of America, New York, NEW YORK",36 mm,"$25,500"
Patek Philippe Twenty~4,Quartz,Steel,2016,Very good,4910/10A-011,"Original box, original papers","Italy, Brescia",25 x 30 mm,"$13,251"
Patek Philippe Vintage,Manual winding,Platinum,-,Good,-,"No original box, no original papers","United States of America, New York, New York",43.5 mm,"$8,900"
Patek Philippe World Time,Automatic,Rose gold,2018,Very good,5230R-001,"Original box, original papers","United States of America, New York, New York",38.5 mm,"$95,000"
Patek Philippe Aquanaut,-,Steel,2009,Very good,5067A-001,"Original box, original papers","Germany, Stuttgart-Mitte",34 mm,"$55,677"
Patek Philippe Calatrava,Automatic,White gold,2023,New,6007G-001,"Original box, original papers","Italy, Riccione",40 mm,"$54,342"
Patek Philippe Nautilus,Automatic,White gold,2023,Unworn,5811/1G-001,"Original box, original papers","United States of America, New York, New York",41 mm,"$155,595"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5147G-001,"Original box, original papers","United States of America, California, Newport Beach",39 mm,"$48,950"
Patek Philippe Complications,Automatic,White gold,2023,New,5231G-001,"Original box, original papers","Turkey, Istanbul",38.5 mm,"$135,000"
Patek Philippe,Manual winding,Yellow gold,-,Good,3915J,"No original box, no original papers","Japan, Osaka-shi",34 mm,"$9,735"
Patek Philippe Annual Calendar,Automatic,Yellow gold,-,Very good,5146J-010,"Original box, original papers","Hong Kong, KOWLOON",39 mm,"$32,500"
Patek Philippe Nautilus,Automatic,Steel,2024,New,7118/1A-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",35.2 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2012,Very good,5980/1A-014,"Original box, no original papers","France, Paris",40.5 mm,"$105,788"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5990/1A,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Golden Ellipse,Automatic,Platinum,2020,Very good,5738P-001,"Original papers, no original box","France, Paris",34.5 x 39.5 mm,"$54,119"
Patek Philippe Aquanaut,Automatic,Rose gold,2017,Unworn,5167R-001,"Original box, original papers","Germany, Berlin",40 mm,"$77,949"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Yellow gold,2024,New,5270J-001,"Original box, original papers","Spain, Madrid",41 mm,Price on request
Patek Philippe Calatrava,Manual winding,White gold,2021,Unworn,6119G-001,"Original box, original papers","Malaysia, Petaling Jaya",39 mm,"$29,800"
Patek Philippe Nautilus,Quartz,Yellow gold,1985,Very good,3900,"No original box, no original papers","Italy, MILANO",33 mm,"$45,656"
Patek Philippe Aquanaut,Automatic,Rose gold,2021,Very good,5164R-001,"Original box, original papers","Germany, München",40.8 mm,"$116,924"
Patek Philippe Nautilus,Automatic,Steel,2008,Very good,5980/1A-001,"Original box, original papers","United Kingdom, Bishops Stortford",40.5 mm,"$112,021"
Patek Philippe Nautilus,Automatic,Rose gold,-,-,5712R-001,"No original box, no original papers","United States of America, Texas, Austin",40 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,2024,New,5924G-010,"Original box, original papers","United States of America, Pennsylvania, Moosic",42 mm,Price on request
Patek Philippe Minute Repeater,-,Rose gold,2023,New,5303R-001,"Original box, original papers","United Kingdom, London",42 mm,Price on request
Patek Philippe Calatrava,Automatic,Steel,2021,Unworn,6007A-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$49,999"
Patek Philippe World Time,Automatic,White gold,2013,New,5131G-001,"Original box, original papers","Switzerland, Genève",39.5 mm,"$122,492"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Good,5127J,"Original box, no original papers","Spain, Barcelona",37 x 46 mm,"$24,498"
Patek Philippe Aquanaut,Automatic,Steel,2023,Unworn,5167A-001,"Original box, original papers","Germany, Düsseldorf",40 mm,"$74,609"
Patek Philippe,Automatic,Yellow gold,-,Very good,5018/12,"No original box, no original papers","Taiwan, Taipei",32 mm,"$49,000"
